time,BTC,BCC,DASH,DOGE,ETH,LTC,NXT,STR,XEM,XRP
2016-12-13,778.74,0.0,9.24,0.0002213,8.4,3.63,0.005891,0.002132,0.0,0.006689
2016-12-14,776.5,0.0,9.25,0.0002203,8.23,3.61,0.0057,0.002138,0.0,0.006788
2016-12-15,775.21,0.0,9.35,0.000221,7.76,3.63,0.005514,0.002762,0.0,0.006634
2016-12-16,782.05,0.0,9.75,0.0002211,7.85,3.62,0.005772,0.003013,0.0,0.006694
2016-12-17,787.17,0.0,9.52,0.0002192,7.66,3.67,0.005757,0.002876,0.0,0.00649
2016-12-18,789.01,0.0,9.84,0.0002192,7.89,3.66,0.005654,0.002909,0.0,0.0065
2016-12-19,789.79,0.0,10.14,0.0002172,7.61,3.64,0.005491,0.002846,0.0,0.00645
2016-12-20,799.1,0.0,10.17,0.0002175,7.59,3.64,0.005723,0.002881,0.0,0.006538
2016-12-21,829.21,0.0,9.84,0.0002181,7.87,3.63,0.0057,0.002774,0.0,0.006559
2016-12-22,860.15,0.0,9.7,0.0002186,7.64,3.67,0.00568,0.002826,0.0,0.006376
2016-12-23,917.17,0.0,9.31,0.000232,7.16,4.41,0.005514,0.002551,0.0,0.006086
2016-12-24,891.07,0.0,9.68,0.0002206,7.23,4.38,0.006,0.002749,0.0,0.006438
2016-12-25,891.07,0.0,9.85,0.000221,7.19,4.22,0.006002,0.002625,0.0,0.00631
2016-12-26,898.38,0.0,9.71,0.0002221,7.21,4.2,0.005933,0.00261,0.0,0.00625
2016-12-27,925.78,0.0,9.53,0.0002178,7.15,4.3,0.006075,0.002523,0.0,0.006135
2016-12-28,972.17,0.0,9.86,0.0002178,7.57,4.42,0.005954,0.002487,0.0,0.006243
2016-12-29,971.08,0.0,10.56,0.000225,8.21,4.47,0.006173,0.002547,0.0,0.006474
2016-12-30,959.04,0.0,10.92,0.0002256,8.16,4.35,0.005952,0.002534,0.0,0.006415
2016-12-31,963.38,0.0,11.13,0.0002256,8.05,4.32,0.005902,0.002449,0.0,0.006511
2017-01-01,995.44,0.0,11.06,0.0002265,8.14,4.42,0.005962,0.002488,0.0,0.006346
2017-01-02,1017.05,0.0,11.62,0.000221,8.33,4.54,0.005934,0.0025,0.0,0.006312
2017-01-03,1033.3,0.0,12.22,0.0002225,9.59,4.51,0.005955,0.002505,0.0,0.006411
2017-01-04,1135.41,0.0,15.49,0.0002211,10.88,4.42,0.005948,0.002623,0.0,0.00641
2017-01-05,989.35,0.0,13.63,0.00023,10.2,4.16,0.0063,0.002564,0.0,0.006276
2017-01-06,886.16,0.0,11.21,0.0002376,10.07,3.76,0.005745,0.00246,0.0,0.006222
2017-01-07,888.87,0.0,11.72,0.0002166,9.78,3.82,0.006137,0.002322,0.0,0.006363
2017-01-08,900.86,0.0,12.31,0.000222,10.27,3.91,0.006,0.00237,0.0,0.006251
2017-01-09,899.78,0.0,12.12,0.0002225,10.2,4.25,0.005879,0.002346,0.0,0.006176
2017-01-10,904.37,0.0,12.16,0.000221,10.55,4.47,0.005922,0.00234,0.0,0.006815
2017-01-11,785.43,0.0,11.14,0.000225,9.83,3.84,0.005382,0.002128,0.0,0.006543
2017-01-12,810.11,0.0,12.17,0.0002065,9.81,3.94,0.005615,0.002496,0.0,0.006359
2017-01-13,824.83,0.0,12.35,0.00022,9.78,3.86,0.005578,0.002365,0.0,0.006669
2017-01-14,819.63,0.0,12.25,0.000202,9.78,3.89,0.005409,0.002446,0.0,0.006795
2017-01-15,821.17,0.0,12.26,0.000205,9.88,3.85,0.00604,0.00244,0.0,0.00681
2017-01-16,827.34,0.0,12.8,0.000215,9.59,3.82,0.005845,0.002367,0.0,0.00678
